"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0005654","M37",78,78,5,5.61404047254623e-15,9.91944811094194e-11,49,0.628205128205128,0.0149253731343284,3283,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"GO:0016071","M37",78,78,6,6.79426470781028e-15,1.200478631223e-10,26,0.333333333333333,0.033205619412516,783,"GO:0016071","BP","mRNA metabolic process","The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
"GO:0031981","M37",78,78,7,1.33287093778271e-14,2.35504965996827e-10,52,0.666666666666667,0.0136698212407992,3804,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"GO:0006396","M37",78,78,8,3.98400955347461e-14,7.03934648003428e-10,27,0.346153846153846,0.0292207792207792,924,"GO:0006396","BP","RNA processing","Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."
"GO:0048255","M37",78,78,9,1.77180092575595e-10,3.13059505571819e-06,7,0.0897435897435897,0.225806451612903,31,"GO:0048255","BP","mRNA stabilization","Prevention of degradation of mRNA molecules. In the absence of compensating changes in other processes, the slowing of mRNA degradation can result in an overall increase in the population of active mRNA molecules."
"GO:0003723","M37",78,78,10,4.31581557438645e-10,7.62561453838342e-06,22,0.282051282051282,0.0246636771300448,892,"GO:0003723","MF","RNA binding","Interacting selectively and non-covalently with an RNA molecule or a portion thereof."
"GO:0032991","M29",74,74,1,1.17519880747902e-13,2.07645877293468e-09,53,0.716216216216216,0.0117935024477081,4494,"GO:0032991","CC","protein-containing complex","A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
"GO:00319811","M29",74,74,2,3.56344873111779e-12,6.29625756301202e-08,47,0.635135135135135,0.0123554153522608,3804,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"GO:0007049","M29",74,74,3,1.71403255013675e-11,3.02852411283663e-07,31,0.418918918918919,0.0181711606096131,1706,"GO:0007049","BP","cell cycle","The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
"GO:00056541","M29",74,74,4,5.63984069399236e-11,9.9650345222151e-07,42,0.567567567567568,0.0127931769722814,3283,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"GO:0044770","M29",74,74,5,1.05070184237228e-10,1.85648508528759e-06,18,0.243243243243243,0.0327272727272727,550,"GO:0044770","BP","cell cycle phase transition","The cell cycle process by which a cell commits to entering the next cell cycle phase."
"GO:0051276","M29",74,74,6,2.26978820733064e-10,4.01048878353252e-06,24,0.324324324324324,0.021680216802168,1107,"GO:0051276","BP","chromosome organization","A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."
"GO:0005634","M29",74,74,7,4.36296659264996e-10,7.70892567255321e-06,57,0.77027027027027,0.00911708253358925,6252,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"GO:0006403","M29",74,74,8,6.7038679289771e-10,1.18450642437096e-05,12,0.162162162162162,0.0545454545454545,220,"GO:0006403","BP","RNA localization","A process in which RNA is transported to, or maintained in, a specific location."
"GO:0000278","M29",74,74,9,7.85512143215018e-10,1.38792140584662e-05,22,0.297297297297297,0.022517911975435,977,"GO:0000278","BP","mitotic cell cycle","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
"GO:0044772","M29",74,74,10,2.86825249161526e-09,5.06791532743501e-05,16,0.216216216216216,0.0310679611650485,515,"GO:0044772","BP","mitotic cell cycle phase transition","The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."
"GO:0004540","M31",63,63,1,3.99800848236601e-05,0.70640811874925,5,0.0793650793650794,0.0543478260869565,92,"GO:0004540","MF","ribonuclease activity","Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA."
"GO:0004521","M31",63,63,2,5.93068657254199e-05,1,4,0.0634920634920635,0.0784313725490196,51,"GO:0004521","MF","endoribonuclease activity","Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks."
"GO:0090502","M31",63,63,3,0.000136173090833884,1,4,0.0634920634920635,0.0634920634920635,63,"GO:0090502","BP","RNA phosphodiester bond hydrolysis, endonucleolytic","The chemical reactions and pathways involving the hydrolysis of internal 3',5'-phosphodiester bonds in one or two strands of ribonucleotides."
"GO:0090501","M31",63,63,4,0.000206120018892594,1,5,0.0793650793650794,0.0384615384615385,130,"GO:0090501","BP","RNA phosphodiester bond hydrolysis","The RNA metabolic process in which the phosphodiester bonds between ribonucleotides are cleaved by hydrolysis."
"GO:1905037","M31",63,63,5,0.000583629803022822,1,4,0.0634920634920635,0.0434782608695652,92,"GO:1905037","BP","autophagosome organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an autophagosome."
"GO:0006914","M31",63,63,6,0.000657032780363767,1,8,0.126984126984127,0.0172413793103448,464,"GO:0006914","BP","autophagy","The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."
"GO:0005783","M31",63,63,7,0.000794366976030782,1,16,0.253968253968254,0.00985828712261245,1623,"GO:0005783","CC","endoplasmic reticulum","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"GO:0006888","M31",63,63,8,0.00103344239819207,1,5,0.0793650793650794,0.027027027027027,185,"GO:0006888","BP","ER to Golgi vesicle-mediated transport","The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi."
"GO:0008540","M31",63,63,9,0.00110022747018743,1,2,0.0317460317460317,0.166666666666667,12,"GO:0008540","CC","proteasome regulatory particle, base subcomplex","The subcomplex of the proteasome regulatory particle that directly associates with the proteasome core complex."
"GO:0016236","M31",63,63,10,0.00116011200398441,1,6,0.0952380952380952,0.0211267605633803,284,"GO:0016236","BP","macroautophagy","The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure.  Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."
"GO:0009312","M18",37,36,1,6.46048919509731e-05,1,3,0.0833333333333333,0.0909090909090909,33,"GO:0009312","BP","oligosaccharide biosynthetic process","The chemical reactions and pathways resulting in the formation of oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
"GO:0016051","M18",37,36,2,0.000102143071320468,1,5,0.138888888888889,0.0251256281407035,199,"GO:0016051","BP","carbohydrate biosynthetic process","The chemical reactions and pathways resulting in the formation of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"GO:0016757","M18",37,36,3,0.000249812936513637,1,5,0.138888888888889,0.020746887966805,241,"GO:0016757","MF","transferase activity, transferring glycosyl groups","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"GO:0005975","M18",37,36,4,0.00027506958315509,1,7,0.194444444444444,0.0127041742286751,551,"GO:0005975","BP","carbohydrate metabolic process","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule."
"GO:0005922","M18",37,36,5,0.000299755729386002,1,2,0.0555555555555556,0.181818181818182,11,"GO:0005922","CC","connexin complex","An assembly of six molecules of connexin, made in the Golgi apparatus and subsequently transported to the plasma membrane, where docking of two connexons on apposed plasma membranes across the extracellular space forms a gap junction."
"GO:0004867","M18",37,36,6,0.000333125777758508,1,3,0.0833333333333333,0.0526315789473684,57,"GO:0004867","MF","serine-type endopeptidase inhibitor activity","Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme."
"GO:0008499","M18",37,36,7,0.00049373260662029,1,2,0.0555555555555556,0.142857142857143,14,"GO:0008499","MF","UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity","Catalysis of the reaction: UDP-galactose + N-acetylglucosamine = galactose-beta-1,3-N-acetylglucosamine + UDP."
"GO:0009311","M18",37,36,8,0.000536555744547115,1,3,0.0833333333333333,0.0447761194029851,67,"GO:0009311","BP","oligosaccharide metabolic process","The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
"GO:0097503","M18",37,36,9,0.000825158302019977,1,2,0.0555555555555556,0.111111111111111,18,"GO:0097503","BP","sialylation","The covalent attachment of sialic acid to a substrate molecule."
"GO:0008373","M18",37,36,10,0.000825158302019977,1,2,0.0555555555555556,0.111111111111111,18,"GO:0008373","MF","sialyltransferase activity","Catalysis of the transfer of sialic acid to an acceptor molecule, typically the terminal portions of the sialylated glycolipids (gangliosides) or to the N- or O-linked sugar chains of glycoproteins."
"GO:0005515","M32",42,42,1,6.04087016542675e-05,1,39,0.928571428571429,0.00388368850826529,10042,"GO:0005515","MF","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"GO:2000582","M32",42,42,2,7.50988133673417e-05,1,2,0.0476190476190476,0.4,5,"GO:2000582","BP","positive regulation of ATP-dependent microtubule motor activity, plus-end-directed","Any process that activates or increases the frequency, rate or extent of ATP-dependent microtubule motor activity, plus-end-directed."
"GO:2000576","M32",42,42,3,0.000112449398393089,1,2,0.0476190476190476,0.333333333333333,6,"GO:2000576","BP","positive regulation of microtubule motor activity","Any process that activates or increases the frequency, rate or extent of microtubule motor activity."
"GO:1902494","M32",42,42,4,0.000174098707945748,1,12,0.285714285714286,0.0090978013646702,1319,"GO:1902494","CC","catalytic complex","A protein complex which is capable of catalytic activity."
"GO:2000574","M32",42,42,5,0.000268452577434494,1,2,0.0476190476190476,0.222222222222222,9,"GO:2000574","BP","regulation of microtubule motor activity","Any process that modulates the frequency, rate or extent of microtubule motor activity."
"GO:0032781","M32",42,42,6,0.000357881115518289,1,3,0.0714285714285714,0.06,50,"GO:0032781","BP","positive regulation of ATPase activity","Any process that activates or increases the rate of ATP hydrolysis by an ATPase."
"GO:0007062","M32",42,42,7,0.000429371880913145,1,4,0.0952380952380952,0.03125,128,"GO:0007062","BP","sister chromatid cohesion","The cell cycle process in which the sister chromatids of a replicated chromosome become tethered to each other."
"GO:0032446","M32",42,42,8,0.000466559235304917,1,9,0.214285714285714,0.0105386416861827,854,"GO:0032446","BP","protein modification by small protein conjugation","A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein."
"GO:0035577","M32",42,42,9,0.000474427196849328,1,3,0.0714285714285714,0.0545454545454545,55,"GO:0035577","CC","azurophil granule membrane","The lipid bilayer surrounding an azurophil granule, a primary lysosomal granule found in neutrophil granulocytes that contains a wide range of hydrolytic enzymes and is released into the extracellular fluid."
"GO:0042582","M32",42,42,10,0.000570552192468725,1,4,0.0952380952380952,0.0289855072463768,138,"GO:0042582","CC","azurophil granule","Primary lysosomal granule found in neutrophil granulocytes. Contains a wide range of hydrolytic enzymes and is released into the extracellular fluid."
"GO:00056542","M33",62,61,1,6.90658304906749e-06,0.122032415893973,29,0.475409836065574,0.00883338409990862,3283,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"GO:00319812","M33",62,61,2,1.45804358198909e-05,0.257621720501652,31,0.508196721311475,0.00814931650893796,3804,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"GO:0006325","M33",62,61,3,1.84410006489707e-05,0.325834040466663,12,0.19672131147541,0.0172166427546628,697,"GO:0006325","BP","chromatin organization","Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin."
"GO:0010467","M33",62,61,4,3.56738039602164e-05,0.630320442173063,35,0.573770491803279,0.00725388601036269,4825,"GO:0010467","BP","gene expression","The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"GO:00056341","M33",62,61,5,4.02750551997956e-05,0.711619950325189,41,0.672131147540984,0.00655790147152911,6252,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"GO:0016070","M33",62,61,6,4.29148395708071e-05,0.758262300376591,32,0.524590163934426,0.00759734093067426,4212,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"GO:0006807","M33",62,61,7,4.42853989358752e-05,0.782478713797979,50,0.819672131147541,0.00575771533855366,8684,"GO:0006807","BP","nitrogen compound metabolic process","The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."
"GO:0044238","M33",62,61,8,7.80082854892143e-05,1,51,0.836065573770492,0.00559210526315789,9120,"GO:0044238","BP","primary metabolic process","The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
"GO:0019438","M33",62,61,9,8.44736402704385e-05,1,30,0.491803278688525,0.0076413652572593,3926,"GO:0019438","BP","aromatic compound biosynthetic process","The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."
"GO:0018130","M33",62,61,10,8.62002504143501e-05,1,30,0.491803278688525,0.00763358778625954,3930,"GO:0018130","BP","heterocycle biosynthetic process","The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
"GO:0031090","M27",74,73,1,6.54997515898501e-06,0.115731511084106,29,0.397260273972603,0.0109310214851112,2653,"GO:0031090","CC","organelle membrane","A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."
"GO:0034976","M27",74,73,2,0.000293788920162066,1,7,0.0958904109589041,0.0263157894736842,266,"GO:0034976","BP","response to endoplasmic reticulum stress","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."
"GO:0044424","M27",74,73,3,0.000308760984405265,1,70,0.958904109589041,0.00567767053288993,12329,"GO:0044424","CC","intracellular part","Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."
"GO:0016197","M27",74,73,4,0.000318701061881083,1,6,0.0821917808219178,0.031413612565445,191,"GO:0016197","BP","endosomal transport","The directed movement of substances mediated by an endosome, a membrane-bounded organelle that carries materials enclosed in the lumen or located in the endosomal membrane."
"GO:2001199","M27",74,73,5,0.000341348574634289,1,2,0.0273972602739726,0.333333333333333,6,"GO:2001199","BP","negative regulation of dendritic cell differentiation","Any process that stops, prevents or reduces the frequency, rate or extent of dendritic cell differentiation."
"GO:0070765","M27",74,73,6,0.000341348574634289,1,2,0.0273972602739726,0.333333333333333,6,"GO:0070765","CC","gamma-secretase complex","A protein complex that has aspartic-type endopeptidase activity, and contains a catalytic subunit, presenilin (PS), that is a prototypical member of the GxGD-type aspartyl peptidases. The complex also contains additional subunits, including nicastrin, APH-1, PEN-2, and a regulatory subunit, CD147. Gamma-secretase cleaves several transmembrane proteins including the cell surface receptor Notch and the amyloid-beta precursor protein."
"GO:0031410","M27",74,73,7,0.000445021129361928,1,21,0.287671232876712,0.0103448275862069,2030,"GO:0031410","CC","cytoplasmic vesicle","A vesicle found in the cytoplasm of a cell."
"GO:0097708","M27",74,73,8,0.000451029437953004,1,21,0.287671232876712,0.0103346456692913,2032,"GO:0097708","CC","intracellular vesicle","Any vesicle that is part of the intracellular region."
"GO:0042147","M27",74,73,9,0.000520746438829703,1,4,0.0547945205479452,0.051948051948052,77,"GO:0042147","BP","retrograde transport, endosome to Golgi","The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport."
"GO:0012505","M27",74,73,10,0.000555027759692453,1,32,0.438356164383562,0.00825380448800619,3877,"GO:0012505","CC","endomembrane system","A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
"GO:00070491","M34",72,72,1,8.6727990618998e-44,1.53239686624708e-39,59,0.819444444444444,0.0345838218053927,1706,"GO:0007049","BP","cell cycle","The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
