Gene,ModuleA,pA,p.adjA,coefA,AUCA,ModuleH,pH,p.adjH,coefH,AUCH,ARank,HRank,RankSum,,A = anti-TNF
TRPA1,unassigned,0.001140332,0.031247887,-2.841901134,0.773809524,unassigned,0.002105561,0.143159024,-0.082436328,0.674017094,14459,14978,29437,,
ERGIC2,unassigned,0.000679355,0.027784541,-7.61029768,0.793290043,unassigned,0.001366757,0.122988546,-0.081161523,0.653675214,14658,14777,29435,,
ZEB1,M20,0.000330168,0.024263656,-3.55413691,0.822510823,M20,0.002786638,0.153058052,-0.250246674,0.644358974,14827,14608,29435,,
CXCL1,M20,0.003728606,0.051626096,-0.725417452,0.770562771,M20,0.002064424,0.143159024,-0.003556551,0.678632479,14429.5,15001,29430.5,,
TNFRSF10C,M20,0.001113578,0.031055783,-2.795138211,0.78030303,M20,0.167211567,0.551983555,-0.066822371,0.664273504,14531.5,14893.5,29425,,
GLT1D1,M5,0.002347613,0.042345874,-2.587583577,0.766233766,M5,0.041296003,0.330403464,-0.48199007,0.685470085,14384,15024.5,29408.5,,
MPDZ,M10,0.001393997,0.033878583,-4.174593857,0.811688312,M10,0.006373783,0.174327046,-0.492578183,0.645470085,14774.5,14626.5,29401,,
NAMPT,M1,0.001120392,0.031080501,-1.323553841,0.766233766,M1,0.025483712,0.279763981,-0.004169869,0.682564103,14384,15016.5,29400.5,,
STX11,M20,0.000277006,0.024263656,-3.60470198,0.840909091,M20,0.042300893,0.33324163,-0.174325266,0.637948718,14927,14469.5,29396.5,,
DYSF,M10,0.00066439,0.027691812,-3.181300039,0.79004329,M10,0.02174509,0.259959328,-0.130044908,0.653504274,14621.5,14773.5,29395,,
CALD1,M10,0.00047924,0.025043089,-4.20207391,0.801948052,M10,0.003460983,0.157148224,-0.02976878,0.647692308,14718,14676.5,29394.5,,
TNFRSF11B,unassigned,0.000756062,0.028315596,-2.163154478,0.853896104,unassigned,0.255663964,0.642581789,-0.025583741,0.635555556,14970,14423,29393,,
FFAR2,unassigned,0.000937605,0.030035814,-1.116681546,0.82034632,unassigned,0.205300813,0.595642898,-0.035894436,0.641538462,14817,14564.5,29381.5,,
ARNTL2,M5,0.000377264,0.024301472,-2.143262889,0.79004329,M5,0.005032049,0.166713687,-0.145932792,0.652307692,14621.5,14750,29371.5,,
CTSL,unassigned,0.000634633,0.027153486,-1.89933872,0.784632035,unassigned,0.013800428,0.225030691,-0.014161093,0.655897436,14564,14807.5,29371.5,,
EDNRA,M2,0.001116798,0.031080501,-2.646262966,0.794372294,M2,0.002623964,0.149229211,-0.283634317,0.649230769,14670,14699.5,29369.5,,
COL6A3,M20,0.000147229,0.024263656,-1.290144443,0.827922078,M20,0.001693498,0.133530401,-0.023238602,0.639316239,14853,14511.5,29364.5,,
OSMR,M20,0.000849143,0.029329962,-1.69510363,0.78030303,M20,0.004023487,0.158717364,-0.091815591,0.657435897,14531.5,14821.5,29353,,
PFKFB3,M1,0.001933077,0.039238063,-1.038932073,0.75974026,M1,0.002937531,0.154600716,-0.026375764,0.693504274,14306,15039,29345,,
DLC1,M10,0.000827363,0.028983496,-3.759002377,0.764069264,M10,0.000670336,0.120872624,-0.240160071,0.675384615,14356,14987.5,29343.5,,
USP2,unassigned,0.002899987,0.046449989,2.837468876,0.75974026,unassigned,0.000328777,0.120872624,0.220215174,0.691880342,14306,15036,29342,,
FILIP1L,M20,0.000898325,0.02943698,-2.798591076,0.784632035,M20,0.002451115,0.147739219,-0.058148442,0.652991453,14569.5,14764.5,29334,,
CALU,M2,0.000985457,0.030213916,-2.237718858,0.777056277,M2,0.006520671,0.174327046,-0.029310569,0.657094017,14488.5,14819,29307.5,,
PLCD1,M16,0.003752951,0.051709894,2.915579117,0.756493506,M16,0.000116962,0.120872624,0.191373661,0.688717949,14274,15032,29306,,
RHOJ,M4,0.001131314,0.031192792,-5.600936027,0.83982684,M4,0.01841993,0.245803101,-0.234063969,0.634017094,14921.5,14378,29299.5,,
THY1,M4,0.00132803,0.03319451,-1.949273757,0.766233766,M4,0.003732545,0.157984296,-0.028034438,0.667008547,14384,14915.5,29299.5,,
SLC26A3,M16,0.001054599,0.030782277,1.222610706,0.764069264,M16,0.000963002,0.120872624,0.00249161,0.669059829,14362.5,14935,29297.5,,
WWTR1,M10,0.000108559,0.024263656,-5.10095284,0.874458874,M10,0.005284068,0.168935968,-0.161876241,0.62991453,15026,14270.5,29296.5,,
FCAR,unassigned,0.004685108,0.058025245,-4.898593163,0.755411255,unassigned,0.385894625,0.743717697,-0.051617926,0.689230769,14262.5,15033,29295.5,,
MMP1,M5,0.000127099,0.024263656,-0.868468515,0.843073593,M5,0.201628237,0.592237558,-0.002226999,0.633504274,14934,14359,29293,,
TLR4,unassigned,0.000958959,0.030207426,-1.833156555,0.777056277,unassigned,0.031141021,0.299500867,-0.103033252,0.655213675,14494.5,14796.5,29291,,
VASN,M2,0.000191155,0.024263656,-5.506156777,0.848484848,M2,0.012709894,0.216397528,-0.180847697,0.632649573,14948,14337,29285,,
ADAMTS12,unassigned,0.000960246,0.030207426,-4.673623454,0.784632035,unassigned,0.003028087,0.154600716,-0.946610834,0.65008547,14569.5,14712.5,29282,,
WNT5A,M5,0.000130334,0.024263656,-1.387299596,0.844155844,M5,0.010772026,0.205802412,-0.079056293,0.632478632,14937.5,14334,29271.5,,
STAP2,M20,0.000822079,0.028983496,2.975533394,0.795454545,M20,0.001902087,0.139022664,0.027676548,0.643076923,14675.5,14590.5,29266,,
FCGR2A,M5,0.000104144,0.024263656,-3.117839862,0.856060606,M5,0.125975499,0.503585574,-0.00974775,0.630598291,14980.5,14283.5,29264,,
ENG,M2,0.000255729,0.024263656,-5.299014767,0.825757576,M2,0.020000357,0.251649888,-0.028097973,0.635384615,14843.5,14420,29263.5,,
ITGA5,M1,0.000224892,0.024263656,-3.245640745,0.875541126,M1,0.05636749,0.370222738,-0.028660114,0.628888889,15027,14233.5,29260.5,,
LINC00888,M20,0.000334659,0.024263656,-3.710745461,0.831168831,M20,0.004266853,0.162442575,-0.730527558,0.634188034,14873.5,14384.5,29258,,
SH3RF3,M2,0.002491473,0.043438734,-3.025714839,0.761904762,M2,0.002007054,0.142487697,-0.727505219,0.667350427,14327,14921,29248,,
LILRA2,M5,0.00023037,0.024263656,-5.846360009,0.861471861,M5,0.404097564,0.75489358,-0.064357009,0.629059829,15003.5,14239,29242.5,,
VEGFC,M20,0.000723919,0.028016165,-2.229409935,0.793290043,M20,0.004043755,0.158854687,-0.746398671,0.642735043,14658,14580,29238,,
ATP8B2,M20,0.000306076,0.024263656,-2.984926896,0.80952381,M20,0.012064694,0.213749985,-0.154455075,0.637777778,14762,14467,29229,,
NRIP3,M14,0.001250643,0.032731046,-4.225712764,0.770562771,M14,0.003876754,0.158717364,-2.108367531,0.655384615,14429.5,14799,29228.5,,
ADAMTS2,M20,0.00194387,0.039238063,-3.034496399,0.771645022,M20,0.001158108,0.121416647,-0.212711066,0.653675214,14443,14777,29220,,
TMEM158,M24,0.000345009,0.024263656,-1.095289342,0.79978355,M24,0.022637982,0.264223969,-0.108184587,0.639230769,14702,14508,29210,,
HECW2,unassigned,0.003057196,0.047683777,-4.670163861,0.75,unassigned,0.000101751,0.120872624,-1.343315545,0.687179487,14172.5,15028,29200.5,,
TUBB6,M10,0.000171189,0.024263656,-1.973093347,0.848484848,M10,0.012013835,0.213749985,-0.06291773,0.629401709,14948,14252.5,29200.5,,
FGR,M6,0.000299247,0.024263656,-1.598516238,0.813852814,M6,0.056975877,0.371687675,-0.046825294,0.635042735,14787.5,14409.5,29197,,
FLT1,M10,0.000149457,0.024263656,-6.178246499,0.856060606,M10,0.014248404,0.227733063,-0.151381823,0.628205128,14980.5,14209,29189.5,,
MAPKAPK2,M6,0.001653965,0.037006004,-4.234381373,0.752164502,M6,0.003024874,0.154600716,-0.042388685,0.674188034,14207,14979,29186,,
ELK3,M20,0.000355813,0.024263656,-3.490495537,0.825757576,M20,0.017089317,0.242545261,-0.091304664,0.632820513,14843.5,14341.5,29185,,
ACSL1,M4,0.001667937,0.037107471,-1.12679606,0.756493506,M4,0.090192552,0.439945542,-0.021584397,0.666495726,14271.5,14911,29182.5,,
HAPLN3,M20,0.000863333,0.02943698,-3.664071841,0.775974026,M20,0.003194969,0.15633955,-0.087039247,0.649230769,14482.5,14699.5,29182,,
TXNDC15,M20,0.000242584,0.024263656,-5.20259572,0.852813853,M20,0.006211014,0.173713555,-0.062489472,0.628205128,14968,14209,29177,,
MNDA,M5,0.000118104,0.024263656,-1.066808953,0.858225108,M5,0.2296425,0.61921341,-0.021050075,0.626837607,14992,14174,29166,,
PHLDA1,M1,0.000581539,0.026574314,-1.243999604,0.762987013,M1,0.00354092,0.157148224,-0.052105315,0.657094017,14345.5,14817.5,29163,,
ECSCR,M20,0.001337913,0.033297519,-2.650233557,0.804112554,M20,0.056385877,0.370222738,-0.097969548,0.635384615,14728.5,14420,29148.5,,
DCUN1D3,M1,0.001125232,0.031159819,-4.867736597,0.778138528,M1,0.021290817,0.258727101,-0.464669272,0.645982906,14506,14639,29145,,
VCAN,M2,9.85E-05,0.024263656,-1.974023131,0.873376623,M2,0.024323403,0.274330255,-0.059791515,0.625128205,15025,14118.5,29143.5,,
LILRA5,M5,0.001947734,0.039238063,-3.627461178,0.773809524,M5,0.158558693,0.54226792,-0.03583559,0.646666667,14459,14658.5,29117.5,,
PPARGC1A,M24,0.000742298,0.028224163,2.771188455,0.786796537,M24,0.00095873,0.120872624,0.377526721,0.64,14586.5,14531,29117.5,,
AGFG2,unassigned,0.00082263,0.028983496,8.196939023,0.793290043,unassigned,0.0019027,0.139022664,0.119850475,0.637264957,14658,14456.5,29114.5,,
COL15A1,M2,0.000193424,0.024263656,-1.274997713,0.8495671,M2,0.016679764,0.240213581,-0.047399554,0.626324786,14955,14159,29114,,
ADAM19,M6,0.001319537,0.03319451,-2.950382458,0.78030303,M6,0.028254543,0.288082674,-0.094077209,0.642735043,14531.5,14582,29113.5,,
LCP2,M7,0.000427143,0.02449672,-2.596493255,0.829004329,M7,0.06707767,0.394963475,-0.020948877,0.629401709,14858.5,14252.5,29111,,
TM4SF18,unassigned,0.000646034,0.02745083,-2.721623731,0.793290043,unassigned,0.004141001,0.159958481,-0.438860865,0.636752137,14658,14446,29104,,
MSANTD3,unassigned,0.000106944,0.024263656,-4.33257251,0.854978355,unassigned,0.015688824,0.232721923,-0.266318127,0.625299145,14973.5,14123.5,29097,,
DOK3,M6,0.000665748,0.027691812,-2.037842983,0.778138528,M6,0.072888128,0.404214758,-0.03855514,0.642905983,14506,14587.5,29093.5,,
ALPL,M5,0.001322967,0.03319451,-5.930459651,0.771645022,M5,0.039019985,0.326034079,-0.04844451,0.646324786,14443,14650,29093,,
FSTL1,M2,0.003400492,0.050174805,-2.015257246,0.744588745,M2,0.000838163,0.120872624,-0.023244972,0.674871795,14100,14984.5,29084.5,,
FCN3,M5,0.001883764,0.038953607,-2.672280172,0.751082251,M5,0.001249188,0.122549059,-0.373186021,0.664444444,14187,14895,29082,,
KLHL2,unassigned,0.000391395,0.024301472,-3.081227652,0.804112554,unassigned,0.037140314,0.31985743,-0.127582151,0.633076923,14728.5,14348,29076.5,,
IL11,M4,8.42E-05,0.024263656,-1.967282642,0.883116883,M4,0.778080383,0.928378722,-0.004615278,0.622393162,15042,14034,29076,,
MSN,M3,0.000303048,0.024263656,-3.541277809,0.821428571,M3,0.054590732,0.364781232,-0.01365814,0.629230769,14824,14243.5,29067.5,,
LY96,unassigned,0.000212065,0.024263656,-1.41727991,0.834415584,unassigned,0.039284355,0.326634362,-0.05614699,0.627008547,14889,14176.5,29065.5,,
FAM129A,unassigned,0.0001447,0.024263656,-1.830077174,0.87012987,unassigned,0.046350093,0.343604581,-0.142337857,0.622393162,15021.5,14029,29050.5,,
ITPRIP,M1,0.000537887,0.025757391,-6.77331134,0.86038961,M1,0.042398505,0.333566246,-0.163666087,0.622905983,15000,14048,29048,,
GPX8,M4,0.000609903,0.026745142,-3.491677805,0.856060606,M4,0.009949832,0.199909363,-0.146184617,0.623418803,14980.5,14065,29045.5,,
PTPRM,M2,0.000341574,0.024263656,-3.014615395,0.819264069,M2,0.029516103,0.293285571,-0.136892734,0.628888889,14812,14233.5,29045.5,,
CLEC4A,M7,0.000187982,0.024263656,-2.154747961,0.845238095,M7,0.076706032,0.410228296,-0.08271277,0.624444444,14940,14100,29040,,
IL1RN,M5,0.000613545,0.026775298,-1.528972211,0.782467532,M5,0.695630313,0.896703531,-0.001401012,0.638461538,14548,14482,29030,,
S1PR3,M20,0.000559571,0.026079494,-2.073330269,0.794372294,M20,0.028683919,0.290018902,-0.202595883,0.633162393,14670,14352,29022,,
PRRX1,M20,0.000441405,0.024668118,-1.956965864,0.791125541,M20,0.034807831,0.312450707,-0.073456746,0.634188034,14635,14384.5,29019.5,,
COL5A2,M2,0.000213086,0.024263656,-1.141647047,0.821428571,M2,0.007682753,0.183123116,-0.048156353,0.627863248,14821.5,14197.5,29019,,
EVA1A,unassigned,0.000887306,0.02943698,-3.174849155,0.79004329,unassigned,0.011870332,0.212504096,-0.482532722,0.634358974,14621.5,14391.5,29013,,
GUCA2B,M20,0.001843504,0.038882231,0.668484021,0.746753247,M20,0.015533515,0.232315247,0.025052941,0.662393162,14137,14875.5,29012.5,,
ICAM1,M1,0.000653266,0.027547493,-1.512881683,0.760822511,M1,0.017019474,0.242214587,-0.025505893,0.648547009,14319,14690,29009,,
FIBIN,M2,0.001052948,0.030782277,-3.211249662,0.806277056,M2,0.23701657,0.626850174,-0.067273679,0.62957265,14745.5,14259,29004.5,,
CHSY1,M20,0.000257345,0.024263656,-2.278468586,0.819264069,M20,0.02696687,0.284819068,-0.107728369,0.627692308,14812,14191.5,29003.5,,
GPR68,M20,0.000335587,0.024263656,-7.122531211,0.817099567,M20,0.019607538,0.250631563,-0.329155576,0.627948718,14801.5,14199,29000.5,,
